9052,Kiko Loureiro,Ray of Life,4yRjOzrP7tXE6aEAryzgi9,24,2012,classical,0.471,0.849,1,-6.513,0,0.041,0.0191,0.706,0.0981,0.534,170.161,243520,4
9053,Arvo Pärt,Fur Alina (For Alena),1xVCrySJjVIppctJB0eAEf,16,220,classical,0.618,0.00123,4,-34.374,1,0.201,0.961,0.271,0.0669,0.431,70.162,262347,4
9054,Hariprasad Chaurasia,Raga Vachaspati,2XHoUye408nrCMwDWA1sQH,22,2011,classical,0.388,0.068,11,-20.507,1,0.0392,0.992,0.926,0.112,0.151,73.327,950173,4
9055,Jeff Kollman,Cosmo Ray Vaughn,3FJ3HvUaVm9EFXeGT6IxEw,18,2052,classical,0.65,0.825,7,-8.353,1,0.0416,0.159,0.881,0.108,0.383,115.042,329266,4
9056,Johann Sebastian Bach,"Bach, JS: The Well-Tempered Clavier, Book I, Prelude and Fugue No. 1, BWV 846: Prelude (Arr. Yang for Guitar)",3W952tynzapIhxbF7a3PfO,19,2532,classical,0.241,0.137,9,-29.718,1,0.0473,0.99,0.911,0.092,0.608,127.467,143760,4
9057,Johann Sebastian Bach,"Komm, Jesu, komm, BWV 229",497DNjrgkIdoFVKrLtN9Ys,23,2000,classical,0.252,0.132,6,-21.751,0,0.0458,0.994,0.00453,0.121,0.105,130.528,538893,3
9058,Victoria de los Ángeles,La Paloma,45Q346fcYDygUbMxMzEORJ,24,2012,classical,0.397,0.12,2,-13.305,1,0.0384,0.969,0.000258,0.0854,0.278,122.064,290227,4
9059,Jeff Loomis,Mercurial,6ZpYSdcP4a3xRft4gRyJHg,17,2012,classical,0.459,0.972,8,-5.492,1,0.113,3.89e-06,0.89,0.317,0.114,110.005,331813,3
9060,Turlough O'Carolan,Carolan: The Queen of the West/ Eleanor Plunkett,3FKa3JhUpPZbie3Qv4WEsa,15,2112,classical,0.275,0.236,8,-13.108,1,0.0415,0.881,0.715,0.122,0.144,71.443,222264,4
9053,Arvo Pärt,Fur Alina (For Alena),1xVCrySJjVIppctJB0eAEf,16,1997,classical,0.618,0.00123,4,-34.374,1,0.201,0.961,0.271,0.0669,0.431,70.162,262347,4
9054,Hariprasad Chaurasia,Raga Vachaspati,2XHoUye408nrCMwDWA1sQH,22,1897,classical,0.388,0.068,11,-20.507,1,0.0392,0.992,0.926,0.112,0.151,73.327,950173,4
9055,Jeff Kollman,Cosmo Ray Vaughn,3FJ3HvUaVm9EFXeGT6IxEw,18,2016,classical,0.65,0.825,7,-8.353,1,0.0416,0.159,0.881,0.108,0.383,115.042,329266,4
9056,Johann Sebastian Bach,"Bach, JS: The Well-Tempered Clavier, Book I, Prelude and Fugue No. 1, BWV 846: Prelude (Arr. Yang for Guitar)",3W952tynzapIhxbF7a3PfO,19,2532,classical,0.241,0.137,9,-29.718,1,0.0473,0.99,0.911,0.092,0.608,127.467,143760,4
9057,Johann Sebastian Bach,"Komm, Jesu, komm, BWV 229",497DNjrgkIdoFVKrLtN9Ys,23,2000,classical,0.252,0.132,6,-21.751,0,0.0458,0.994,0.00453,0.121,0.105,130.528,538893,3
9058,Victoria de los Ángeles,La Paloma,45Q346fcYDygUbMxMzEORJ,24,2012,classical,0.397,0.12,2,-13.305,1,0.0384,0.969,0.000258,0.0854,0.278,122.064,290227,4
9059,Jeff Loomis,Mercurial,6ZpYSdcP4a3xRft4gRyJHg,17,2012,classical,0.459,0.972,8,-5.492,1,0.113,3.89e-06,0.89,0.317,0.114,110.005,331813,3
9060,Turlough O'Carolan,Carolan: The Queen of the West/ Eleanor Plunkett,3FKa3JhUpPZbie3Qv4WEsa,15,2012,classical,0.275,0.236,8,-13.108,1,0.0415,0.881,0.715,0.122,0.144,71.443,222264,4
